Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
Alsat-2B	Alsat-2B	Algeria	Algerian Space Agency (ASAL)	Government	Earth Observation	Optical Imaging	LEO	0	646	660	9.967250462765201E-4	98.2	97.7	117	2016-09-25T22:00:00Z	5	Airbus Defense and Space	France/UK/Germany/Spain	Satish Dhawan Space Centre	PSLV	Surveillance.
Amazonas-2	Amazonas-2	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications	Optical Imaging	GEO	-61	35767	35805	4.5070689818768383E-4	0.03	1436.08	5465	2009-09-30T22:00:00Z	15	EADS Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5	54 Ku-band, 10 C-band transponders; North, Central and South America.
Amazonas-3	Amazonas-3	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO	-61	35781	35791	1.1860707847044311E-4	0.03	1436.05	6265	2013-02-06T23:00:00Z	15	Space Systems/Loral	USA	Guiana Space Center	Ariane 5 ECA	
Amazonas-4A	Amazonas-4A	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO	-61	35784	35795	1.3045695513466714E-4	0.08	1436.24	2938	2014-03-21T23:00:00Z	15	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	Suffered a power malfunction shortly after entering orbit; will affect capacity.
Amazonas-5	Amazonas-5	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO	-61	35785	35789	4.74417060037479E-5	0.04	1436.11	5900	2017-09-11T22:00:00Z	15	Space Systems/Loral	USA	Baikonur Cosmodrome	Proton	34 Ka-band, 24 Ku-band
Amazonas-Nexus	Amazonas-Nexus	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO	-60.97	35777	35797	2.3720853001873946E-4	0.02	1436.15	4000	2023-02-06T23:00:00Z		Thales Alenia Space	France/Italy	Cape Canaveral	Falcon 9	
Amazonia-1 (SSR-1)	Amazonia-1	Brazil	National Institute for Space Research (INPE)	Government	Earth Observation	Optical Imaging	LEO	0	761	764	2.103049421661409E-4	98.5	99.9	637	2021-02-27T23:00:00Z	4	National Institute for Space Research (INPE)	Brazil	Satish Dhawan Space Centre	PSLV	First earth observation satellite produced entirely by Brazil.
AMC-11 (Americom-11, GE 11)	AMC-11	USA	SES S.A.	Commercial	Communications		GEO	-130.93	35774	35797	2.7279951607738016E-4	0.04	1436.07	2340	2004-05-18T22:00:00Z	15	Lockheed Martin	USA	Cape Canaveral	Atlas 2AS	24 C-band transponders.
AMC-15 (Americom-15)	AMC-15	USA	SES S.A.	Commercial	Communications		GEO	-105.04	35777	35795	2.134927412467976E-4	0.04	1436.08	4200	2004-10-13T22:00:00Z	15	Lockheed Martin	USA	Baikonur Cosmodrome	Proton M	Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.
AMC-18 (Americom 18)	AMC-18	USA	SES S.A.	Commercial	Communications		GEO	-104.97	35773	35800	3.2023531365269885E-4	0.06	1436.1	2081	2006-12-07T23:00:00Z	15	Lockheed Martin Missiles & Space	USA	Guiana Space Center	Ariane 5	All c-band transponders for North American coverage.
AMC-21 (Americom 21)	AMC-21	USA	SES S.A.	Commercial	Communications		GEO	-124.86	35778	35793	1.7791272787655228E-4	3	1436.1	2500	2008-08-13T22:00:00Z	15	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	Television services to the US, Canada, Mexico and Caribbean.
AMC-6 (Americom-6, GE-6)	AMC-6	USA	SES S.A.	Commercial	Communications		GEO	-71.98	35778	35795	2.0162964192947707E-4	0.05	1436.12	3901	2000-10-21T22:00:00Z	15	Lockheed Martin Commercial Space Systems	USA	Baikonur Cosmodrome	Proton K	Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America
AmGU-1 (AmurSat-1)	AmGU-1	Russia	Moscow State University	Civil	Space Science		LEO	0	514	547	0.0023911310774581552	97.5	95.2	4	2019-07-04T22:00:00Z		Moscow State University	Russia	Vostochny Cosmodrome	Soyuz-2.1b	Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
Amos 17	Amos 17	Israel	Space-Communication Ltd.	Military/Commercial	Communications		GEO	17	35777	35793	1.8977582730399716E-4	0	1436.04	6500	2019-08-05T22:00:00Z	20	Boeing Satellite Systems	USA	Cape Canaveral	Falcon 9	Replaces Amos 5 which failed in 2015.
Amos 3	Amos 3	Israel	Space-Communication Ltd.	Military/Commercial	Communications		GEO	-3.99	35783	35789	7.116424708226587E-5	0.04	1436.1		2008-04-27T22:00:00Z	12	Israel Aircraft Industries (IAI)	Israel	Baikonur Cosmodrome	Zenit 3SLB	15 transponders, Ku and Ka bands.
Amos 4	Amos 4	Israel	Space-Communication Ltd.	Military/Commercial	Communications		GEO	65	35633	35796	0.0019365799760006654	0.01	1432		2013-08-30T22:00:00Z	12	Israel Aircraft Industries (IAI)	Israel	Baikonur Cosmodrome	Zenit 2SB	Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.
Amsat-Oscar 7 (AO-7)	Amsat-Oscar 7	USA	AMSAT-NA	Civil	Communications		LEO	0	1440	1459	0.001214911439350342	101.4	114.9	29	1974-11-14T23:00:00Z		Amsat-NA	USA	Vandenberg AFB	Delta 2310	American amateur radio satellite.
